played_at,track_artists,track_name,track_popularity,track_duration_ms,track_explicit,track_spotify_url,track_preview_url,track_track_number,track_uri,track_disc_number,track_href,track_id,track_is_local,track_artists_uris,track_external_ids_isrc,album_name,album_spotify_url,album_release_date,album_uri,album_id,album_href,album_release_date_precision,album_type,album_total_tracks,album_artist_spotify_url,album_artist_href,album_artist_id,album_artist_name,album_artist_uri,album_artists,album_image_640x640_url,album_image_300x300_url,album_image_64x64_url
2022-08-10T20:50:04.612Z,A.C.O & Charles Ans,De Madrugada,44,220757,False,https://open.spotify.com/track/280QqgbMrLeMs6B80mIPG2,https://p.scdn.co/mp3-preview/2a2868ee63f972d4e137e2549fbeae14a958a613?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,spotify:track:280QqgbMrLeMs6B80mIPG2,1,https://api.spotify.com/v1/tracks/280QqgbMrLeMs6B80mIPG2,280QqgbMrLeMs6B80mIPG2,False,A.C.O_spotify:artist:0x2z4hugJaiGdTP0lzhxvO & Charles Ans_spotify:artist:5lYeiQxUTcGKVgAuTqbTeL,ZZOPM2104696,De Madrugada,https://open.spotify.com/album/1tWIyjJX38WxDiIgyySy4P,2021-03-12,spotify:album:1tWIyjJX38WxDiIgyySy4P,1tWIyjJX38WxDiIgyySy4P,https://api.spotify.com/v1/albums/1tWIyjJX38WxDiIgyySy4P,day,single,1,https://open.spotify.com/artist/0x2z4hugJaiGdTP0lzhxvO,https://api.spotify.com/v1/artists/0x2z4hugJaiGdTP0lzhxvO,0x2z4hugJaiGdTP0lzhxvO,A.C.O,spotify:artist:0x2z4hugJaiGdTP0lzhxvO,A.C.O & Charles Ans,https://i.scdn.co/image/ab67616d0000b273bdcefdeab6bfd90a7911ff09,https://i.scdn.co/image/ab67616d00001e02bdcefdeab6bfd90a7911ff09,https://i.scdn.co/image/ab67616d00004851bdcefdeab6bfd90a7911ff09
2022-08-10T20:53:11.865Z,Bizarrap & Villano Antillano,"Villano Antillano: Bzrp Music Sessions, Vol. 51",89,187500,True,https://open.spotify.com/track/4hceSKjrkDTO0nMKFcb3sj,https://p.scdn.co/mp3-preview/2284a650c741c0cd786ac992f26764a08ab8f752?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,spotify:track:4hceSKjrkDTO0nMKFcb3sj,1,https://api.spotify.com/v1/tracks/4hceSKjrkDTO0nMKFcb3sj,4hceSKjrkDTO0nMKFcb3sj,False,Bizarrap_spotify:artist:716NhGYqD1jl2wI1Qkgq36 & Villano Antillano_spotify:artist:1pi7nGhOM7PTHR5YEgXVGq,UYB282201027,"Villano Antillano: Bzrp Music Sessions, Vol. 51",https://open.spotify.com/album/1tjIQcE1WoeRfI7t5QFRgR,2022-06-08,spotify:album:1tjIQcE1WoeRfI7t5QFRgR,1tjIQcE1WoeRfI7t5QFRgR,https://api.spotify.com/v1/albums/1tjIQcE1WoeRfI7t5QFRgR,day,single,1,https://open.spotify.com/artist/716NhGYqD1jl2wI1Qkgq36,https://api.spotify.com/v1/artists/716NhGYqD1jl2wI1Qkgq36,716NhGYqD1jl2wI1Qkgq36,Bizarrap,spotify:artist:716NhGYqD1jl2wI1Qkgq36,Bizarrap & Villano Antillano,https://i.scdn.co/image/ab67616d0000b273ab7954fdffcef5bb8e052f28,https://i.scdn.co/image/ab67616d00001e02ab7954fdffcef5bb8e052f28,https://i.scdn.co/image/ab67616d00004851ab7954fdffcef5bb8e052f28
2022-08-10T20:56:16.488Z,Cartel De Santa,Vato Sencillo,63,183093,False,https://open.spotify.com/track/1QkDbaPjLHycyBsJzOHexj,https://p.scdn.co/mp3-preview/1aa99b0f9253ab878b84f111221e9f01e44be38d?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,9,spotify:track:1QkDbaPjLHycyBsJzOHexj,1,https://api.spotify.com/v1/tracks/1QkDbaPjLHycyBsJzOHexj,1QkDbaPjLHycyBsJzOHexj,False,Cartel De Santa_spotify:artist:07PdYoE4jVRF6Ut40GgVSP,MXF010800917,Vol. 4,https://open.spotify.com/album/7LP8ofOXYH2AGzc8ZCt0Oe,2008-12-06,spotify:album:7LP8ofOXYH2AGzc8ZCt0Oe,7LP8ofOXYH2AGzc8ZCt0Oe,https://api.spotify.com/v1/albums/7LP8ofOXYH2AGzc8ZCt0Oe,day,album,13,https://open.spotify.com/artist/07PdYoE4jVRF6Ut40GgVSP,https://api.spotify.com/v1/artists/07PdYoE4jVRF6Ut40GgVSP,07PdYoE4jVRF6Ut40GgVSP,Cartel De Santa,spotify:artist:07PdYoE4jVRF6Ut40GgVSP,Cartel De Santa,https://i.scdn.co/image/ab67616d0000b273ca5c95ef4943f338ef029cf9,https://i.scdn.co/image/ab67616d00001e02ca5c95ef4943f338ef029cf9,https://i.scdn.co/image/ab67616d00004851ca5c95ef4943f338ef029cf9
2022-08-10T21:00:34.381Z,Bipo Montana,This Shit Is Going Down,29,258068,True,https://open.spotify.com/track/4xUQWEM6Oa5EUO0JWDHEAb,https://p.scdn.co/mp3-preview/01c9488015decc97b3f6704ed0299d50594c0736?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,spotify:track:4xUQWEM6Oa5EUO0JWDHEAb,1,https://api.spotify.com/v1/tracks/4xUQWEM6Oa5EUO0JWDHEAb,4xUQWEM6Oa5EUO0JWDHEAb,False,Bipo Montana_spotify:artist:6JG2QQcaQBzinELNvu9PRk,US7VG1953575,This Shit Is Going Down,https://open.spotify.com/album/31bam7Kck1oq45lQ5aqFc3,2019-02-22,spotify:album:31bam7Kck1oq45lQ5aqFc3,31bam7Kck1oq45lQ5aqFc3,https://api.spotify.com/v1/albums/31bam7Kck1oq45lQ5aqFc3,day,single,1,https://open.spotify.com/artist/6JG2QQcaQBzinELNvu9PRk,https://api.spotify.com/v1/artists/6JG2QQcaQBzinELNvu9PRk,6JG2QQcaQBzinELNvu9PRk,Bipo Montana,spotify:artist:6JG2QQcaQBzinELNvu9PRk,Bipo Montana,https://i.scdn.co/image/ab67616d0000b27309ef44aef606379a382d65e5,https://i.scdn.co/image/ab67616d00001e0209ef44aef606379a382d65e5,https://i.scdn.co/image/ab67616d0000485109ef44aef606379a382d65e5
2022-08-10T21:03:32.830Z,Bizarrap & Snow Tha Product,"Snow Tha Product: Bzrp Music Sessions, Vol. 39",75,177442,True,https://open.spotify.com/track/3ke6it1vTmHtz2ApcIVUz5,https://p.scdn.co/mp3-preview/8569ef9376f2f800d8a2e37cb6e9ddf8d2370dbc?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,spotify:track:3ke6it1vTmHtz2ApcIVUz5,1,https://api.spotify.com/v1/tracks/3ke6it1vTmHtz2ApcIVUz5,3ke6it1vTmHtz2ApcIVUz5,False,Bizarrap_spotify:artist:716NhGYqD1jl2wI1Qkgq36 & Snow Tha Product_spotify:artist:3p3jPcp8b7WL9XYj4xlsWj,UYB282101015,"Snow Tha Product: Bzrp Music Sessions, Vol. 39",https://open.spotify.com/album/3GN1tT5enSZQ6lMDtls3an,2021-04-28,spotify:album:3GN1tT5enSZQ6lMDtls3an,3GN1tT5enSZQ6lMDtls3an,https://api.spotify.com/v1/albums/3GN1tT5enSZQ6lMDtls3an,day,single,1,https://open.spotify.com/artist/716NhGYqD1jl2wI1Qkgq36,https://api.spotify.com/v1/artists/716NhGYqD1jl2wI1Qkgq36,716NhGYqD1jl2wI1Qkgq36,Bizarrap,spotify:artist:716NhGYqD1jl2wI1Qkgq36,Bizarrap & Snow Tha Product,https://i.scdn.co/image/ab67616d0000b2730427a473bc9cec1a1df4d14b,https://i.scdn.co/image/ab67616d00001e020427a473bc9cec1a1df4d14b,https://i.scdn.co/image/ab67616d000048510427a473bc9cec1a1df4d14b
2022-08-10T21:06:36.078Z,Nortec: Bostich + Fussible,Tijuana Sound Machine,53,182786,False,https://open.spotify.com/track/7HW7q9Vcgr3GlUV7PKHKOj,https://p.scdn.co/mp3-preview/3bb125f85bdfe9fb021abaf252cee9883a321c3e?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,4,spotify:track:7HW7q9Vcgr3GlUV7PKHKOj,1,https://api.spotify.com/v1/tracks/7HW7q9Vcgr3GlUV7PKHKOj,7HW7q9Vcgr3GlUV7PKHKOj,False,Nortec: Bostich + Fussible_spotify:artist:3Jarv4dvk7d9k6AkqDUVJg,US66W0801094,Tijuana Sound Machine (Nortec Collective Presents: Bostich+Fussible),https://open.spotify.com/album/4H3jCH55WS5z7CF6g144eV,2008-05-06,spotify:album:4H3jCH55WS5z7CF6g144eV,4H3jCH55WS5z7CF6g144eV,https://api.spotify.com/v1/albums/4H3jCH55WS5z7CF6g144eV,day,album,15,https://open.spotify.com/artist/3Jarv4dvk7d9k6AkqDUVJg,https://api.spotify.com/v1/artists/3Jarv4dvk7d9k6AkqDUVJg,3Jarv4dvk7d9k6AkqDUVJg,Nortec: Bostich + Fussible,spotify:artist:3Jarv4dvk7d9k6AkqDUVJg,Nortec: Bostich + Fussible,https://i.scdn.co/image/ab67616d0000b27319e01b3b6855543502b4fdcf,https://i.scdn.co/image/ab67616d00001e0219e01b3b6855543502b4fdcf,https://i.scdn.co/image/ab67616d0000485119e01b3b6855543502b4fdcf
2022-08-10T21:11:12.511Z,Young Joshua & iQlover & Jarabe kidd,G.R.O.D,17,276144,True,https://open.spotify.com/track/2X3bPyUV97q2ijxrf8Pprl,https://p.scdn.co/mp3-preview/2780e75deeae10c7bcb7022f612c15fdec3f56e9?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,spotify:track:2X3bPyUV97q2ijxrf8Pprl,1,https://api.spotify.com/v1/tracks/2X3bPyUV97q2ijxrf8Pprl,2X3bPyUV97q2ijxrf8Pprl,False,Young Joshua_spotify:artist:5zS5vwSbu6RgEsXctO8USx & iQlover_spotify:artist:4f3gfMiBebyuTylgG4hHbq & Jarabe kidd_spotify:artist:5absue45Q798sotcg1d0FD,QZNJX2175628,G.R.O.D,https://open.spotify.com/album/5MHvBMoXaYPDG7LaIFbnd9,2021-11-08,spotify:album:5MHvBMoXaYPDG7LaIFbnd9,5MHvBMoXaYPDG7LaIFbnd9,https://api.spotify.com/v1/albums/5MHvBMoXaYPDG7LaIFbnd9,day,single,1,https://open.spotify.com/artist/5zS5vwSbu6RgEsXctO8USx,https://api.spotify.com/v1/artists/5zS5vwSbu6RgEsXctO8USx,5zS5vwSbu6RgEsXctO8USx,Young Joshua,spotify:artist:5zS5vwSbu6RgEsXctO8USx,Young Joshua & iQlover & Jarabe kidd,https://i.scdn.co/image/ab67616d0000b273ee199f3ff858aec19f0192b9,https://i.scdn.co/image/ab67616d00001e02ee199f3ff858aec19f0192b9,https://i.scdn.co/image/ab67616d00004851ee199f3ff858aec19f0192b9
2022-08-10T21:14:16.873Z,Yoga Fire & Kamaro & Dee,Millón,35,183512,True,https://open.spotify.com/track/64WAtGEW18TZJypuDepkxe,https://p.scdn.co/mp3-preview/cea1910c2243bfbfe5714a396a8c697be8aa6277?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,spotify:track:64WAtGEW18TZJypuDepkxe,1,https://api.spotify.com/v1/tracks/64WAtGEW18TZJypuDepkxe,64WAtGEW18TZJypuDepkxe,False,Yoga Fire_spotify:artist:3AgxRYe2kXEfsZyB07hqJF & Kamaro_spotify:artist:7psBfCiJgjoSL9JMbTxqGU & Dee_spotify:artist:1jVhcHIGJuk16eqY1Mdtuk,QM6N22219503,Millón,https://open.spotify.com/album/0sWe9dI7ATIJcGmTVeeHv3,2022-06-03,spotify:album:0sWe9dI7ATIJcGmTVeeHv3,0sWe9dI7ATIJcGmTVeeHv3,https://api.spotify.com/v1/albums/0sWe9dI7ATIJcGmTVeeHv3,day,single,1,https://open.spotify.com/artist/3AgxRYe2kXEfsZyB07hqJF,https://api.spotify.com/v1/artists/3AgxRYe2kXEfsZyB07hqJF,3AgxRYe2kXEfsZyB07hqJF,Yoga Fire,spotify:artist:3AgxRYe2kXEfsZyB07hqJF,Yoga Fire & Kamaro,https://i.scdn.co/image/ab67616d0000b2732d9d1e251465d6802394db91,https://i.scdn.co/image/ab67616d00001e022d9d1e251465d6802394db91,https://i.scdn.co/image/ab67616d000048512d9d1e251465d6802394db91
2022-08-10T21:18:29.319Z,Acentoh,El Virus,0,251904,True,https://open.spotify.com/track/0weocHib1DiLJxotouublX,https://p.scdn.co/mp3-preview/6c7519d584b8a095c30667f4648dfc9db69510e0?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,spotify:track:0weocHib1DiLJxotouublX,1,https://api.spotify.com/v1/tracks/0weocHib1DiLJxotouublX,0weocHib1DiLJxotouublX,False,Acentoh_spotify:artist:3GvnnMWCCQbhn7lPDlzqwA,QZHZ31921270,El Virus,https://open.spotify.com/album/6ZR32MBRsbfjj9AJk04Rpd,2019-08-28,spotify:album:6ZR32MBRsbfjj9AJk04Rpd,6ZR32MBRsbfjj9AJk04Rpd,https://api.spotify.com/v1/albums/6ZR32MBRsbfjj9AJk04Rpd,day,single,1,https://open.spotify.com/artist/3GvnnMWCCQbhn7lPDlzqwA,https://api.spotify.com/v1/artists/3GvnnMWCCQbhn7lPDlzqwA,3GvnnMWCCQbhn7lPDlzqwA,Acentoh,spotify:artist:3GvnnMWCCQbhn7lPDlzqwA,Acentoh,https://i.scdn.co/image/ab67616d0000b273c3a38f87a3341db36bd47d45,https://i.scdn.co/image/ab67616d00001e02c3a38f87a3341db36bd47d45,https://i.scdn.co/image/ab67616d00004851c3a38f87a3341db36bd47d45
2022-08-10T21:21:59.976Z,Bad Bunny & Sech,Ignorantes,73,210606,True,https://open.spotify.com/track/38RIEav39FGi86jppxO0du,https://p.scdn.co/mp3-preview/012fea3bbc2e414af606c6658dcbf546240e3996?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,11,spotify:track:38RIEav39FGi86jppxO0du,1,https://api.spotify.com/v1/tracks/38RIEav39FGi86jppxO0du,38RIEav39FGi86jppxO0du,False,Bad Bunny_spotify:artist:4q3ewBCX7sLwd24euuV69X & Sech_spotify:artist:77ziqFxp5gaInVrF2lj4ht,QM4TW2090210,YHLQMDLG,https://open.spotify.com/album/5lJqux7orBlA1QzyiBGti1,2020-02-29,spotify:album:5lJqux7orBlA1QzyiBGti1,5lJqux7orBlA1QzyiBGti1,https://api.spotify.com/v1/albums/5lJqux7orBlA1QzyiBGti1,day,album,20,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X,4q3ewBCX7sLwd24euuV69X,Bad Bunny,spotify:artist:4q3ewBCX7sLwd24euuV69X,Bad Bunny,https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0,https://i.scdn.co/image/ab67616d00001e02548f7ec52da7313de0c5e4a0,https://i.scdn.co/image/ab67616d00004851548f7ec52da7313de0c5e4a0
